name,true_score,game,review_link,useless1,Site_address,useless12,useless13,useless14,,
Canadian Online Gamers,85,DG2: Defense Grid 2,http://canadianonlinegamers.com/review/defense-grid-2-ps4-review/,http:,canadianonlinegamers.com,review,defense-grid-2-ps4-review,,,
PSNStores,80,,http://www.psnstores.com/review/review-defense-grid-2/,,,,,,,
TheSixthAxis,80,,http://www.thesixthaxis.com/2014/10/22/defense-grid-2-review-ps4-xbox-one-pc/,,,,,,,
Game Revolution,80,,http://www.gamerevolution.com/review/defense-grid-2,,,,,,,
Push Square,80,,http://www.pushsquare.com/reviews/ps4/defense_grid_2,,,,,,,
PlayStation LifeStyle,80,,http://www.playstationlifestyle.net/2014/09/28/defense-grid-2-review-console-caliber-tower-defense-ps4/#/slide/1,,,,,,,
Playstation Universe,80,,http://www.psu.com/review/24754/Defense-Grid-2-Review--Towering-over-the-competition,,,,,,,
Playstation Official Magazine UK,70,,http://www.psx-sense.nl/176347/review-defense-grid-2/,,,,,,,
PSX-Sense.nl,60,,,,,,,,,
Eurogamer Portugal,100,Diablo III: Ultimate Evil Edition,http://www.eurogamer.pt/articles/2014-08-28-diablo-3-reaper-of-souls-ultimate-evil-edition-analise,http:,www.eurogamer.pt,articles,2014-08-28-diablo-3-reaper-of-souls-ultimate-evil-edition-analise,,,
Digital Spy,100,,http://www.digitalspy.com/gaming/review/a591892/diablo-3-ultimate-evil-edition-review-ps4-definitive-hack-n-slash-fest.html,,,,,,,
Quarter to Three,100,,http://www.quartertothree.com/fp/2014/08/19/go-diablo-iii-next-gen-living-room/,,,,,,,
God is a Geek,100,,http://www.godisageek.com/2014/08/diablo-iii-reaper-souls-ultimate-evil-edition-review/,,,,,,,
Gaming Age,100,,http://www.gaming-age.com/2014/08/diablo-iii-ultimate-evil-edition-review-ps4-xbox-one-ps3-xbox-360/,,,,,,,
USgamer,100,,http://www.usgamer.net/articles/diablo-iii-reaper-of-souls-ultimate-evil-edition-ps4-review-,,,,,,,
ActionTrip,97,,http://www.actiontrip.com/reviews/ps4/diablo-3-ultimate-evil-edition.phtml,,,,,,,
