name,true_score,game,review_link,useless1,Site_address,useless12,useless13,useless14,,,,,,
Multiplayer.it,90,Dust: An Elysian Tail,http://multiplayer.it/recensioni/138902-dust-an-elysian-tail-i-ricordi-nella-polvere.html,http:,multiplayer.it,recensioni,138902-dust-an-elysian-tail-i-ricordi-nella-polvere.html,,,,,,,
Playstation Official Magazine Australia,80,,http://www.laps4.com/analisis/414845-analisis_dust_elysian_tail.html,http:,www.laps4.com,analisis,414845-analisis_dust_elysian_tail.html,,,,,,,
Playstation Official Magazine UK,80,,http://www.pushsquare.com/reviews/ps4/dust_an_elysian_tail,http:,www.pushsquare.com,reviews,ps4,dust_an_elysian_tail,,,,,,
LaPS4,73,,,#VALUE!,,,,,,,,,,
Push Square,70,,,#VALUE!,,,,,,,,,,
Cheat Code Central,94,Dying Light,http://www.cheatcc.com/ps4/rev/dyinglightreview.html,http:,www.cheatcc.com,ps4,rev,dyinglightreview.html,,,,,,
GameCritics,90,,http://gamecritics.com/daniel-weissenberger/dying-light-review,http:,gamecritics.com,daniel-weissenberger,dying-light-review,,,,,,,
Impulsegamer,90,,http://www.impulsegamer.com/dying-light-ps4-review/,http:,www.impulsegamer.com,dying-light-ps4-review,,,,,,,,
Gamers' Temple,90,,http://www.gamerstemple.com/game-reviews/playstation-4/8442/dying-light-review,http:,www.gamerstemple.com,game-reviews,playstation-4,8442,dying-light-review,,,,,
Hobby Consolas,88,,http://www.hobbyconsolas.com/reviews/analisis-dying-light-para-ps4-108430,http:,www.hobbyconsolas.com,reviews,analisis-dying-light-para-ps4-108430,,,,,,,
Everyeye.it,85,,http://www.everyeye.it/ps4/articoli/dying-light_recensione_24845,http:,www.everyeye.it,ps4,articoli,dying-light_recensione_24845,,,,,,
IGN,85,,http://www.ign.com/articles/2015/01/27/dying-light-review,http:,www.ign.com,articles,2015,1,27,dying-light-review,,,,
Game Informer,85,,http://www.gameinformer.com/games/dying_light/b/playstation4/archive/2015/02/02/dying-light-game-informer-review.aspx,http:,www.gameinformer.com,games,dying_light,b,playstation4,archive,2015,2,2,dying-light-game-informer-review.aspx
GamesVillage.it,85,,http://www.gamesvillage.it/videogiochi/dying-light-recensione/,http:,www.gamesvillage.it,videogiochi,dying-light-recensione,,,,,,,
PlayStation LifeStyle,85,,http://www.playstationlifestyle.net/2015/02/01/dying-light-review-ps4-frighteningly-beautiful/,http:,www.playstationlifestyle.net,2015,2,1,dying-light-review-ps4-frighteningly-beautiful,,,,,
Gaming Age,83,,http://www.gaming-age.com/2015/02/dying-light-review-ps4-xbox-one-pc/,http:,www.gaming-age.com,2015,2,dying-light-review-ps4-xbox-one-pc,,,,,,
Power Unlimited,83,,http://www.pu.nl/artikelen/review/dying-light-review/,http:,www.pu.nl,artikelen,review,dying-light-review,,,,,,
LaPS4,82,,http://www.laps4.com/analisis/417920-analisis_dying_light.html,http:,www.laps4.com,analisis,417920-analisis_dying_light.html,,,,,,,
Canadian Online Gamers,82,,http://canadianonlinegamers.com/review/dying-light-review/,http:,canadianonlinegamers.com,review,dying-light-review,,,,,,,
Toronto Sun,80,,http://www.torontosun.com/2015/02/24/dying-light-review-game-freshens-up-zombie-apocalypse-with-rpg-skills-parkour-moves,http:,www.torontosun.com,2015,2,24,dying-light-review-game-freshens-up-zombie-apocalypse-with-rpg-skills-parkour-moves,,,,,
Telegraph,80,,http://www.telegraph.co.uk/technology/video-games/video-game-reviews/11422899/Dying-Light-review.html,http:,www.telegraph.co.uk,technology,video-games,video-game-reviews,11422899,Dying-Light-review.html,,,,
CGMagazine,80,,http://www.cgmagonline.com/reviews/dying-light-ps4-review/,http:,www.cgmagonline.com,reviews,dying-light-ps4-review,,,,,,,
PSX-Sense.nl,80,,http://www.psx-sense.nl/184954/review-dying-light/,http:,www.psx-sense.nl,184954,review-dying-light,,,,,,,
Digital Chumps,80,,http://digitalchumps.com/game-reviews/352-playstation-4/dying-light.html,http:,digitalchumps.com,game-reviews,352-playstation-4,dying-light.html,,,,,,
DarkStation,80,,http://www.darkstation.com/reviews/dying-light/,http:,www.darkstation.com,reviews,dying-light,,,,,,,
Worth Playing,80,,http://worthplaying.com/article/2015/2/3/reviews/94830/,http:,worthplaying.com,article,2015,2,3,reviews,94830,,,
Digitally Downloaded,80,,http://www.digitallydownloaded.net/2015/02/review-dying-light-sony-playstation-4.html,http:,www.digitallydownloaded.net,2015,2,review-dying-light-sony-playstation-4.html,,,,,,
Playstation Universe,80,,http://www.psu.com/review/25734/Dying-Light-Review--free-running-in-the-right-direction,http:,www.psu.com,review,25734,Dying-Light-Review--free-running-in-the-right-direction,,,,,,
Eurogamer Italy,80,,http://www.eurogamer.it/articles/2015-01-30-dying-light-gli-zombi-di-techland-spiccano-il-balzo-recensione,http:,www.eurogamer.it,articles,2015-01-30-dying-light-gli-zombi-di-techland-spiccano-il-balzo-recensione,,,,,,,
Push Square,80,,http://www.pushsquare.com/reviews/ps4/dying_light,http:,www.pushsquare.com,reviews,ps4,dying_light,,,,,,
Twinfinite,80,,http://www.twinfinite.net/2015/01/28/dying-light-review/,http:,www.twinfinite.net,2015,1,28,dying-light-review,,,,,
IGN Spain,79,,http://es.ign.com/dying-light-ps4/90711/review/dying-light-analisis-para-ps4-xbox-one-y-pc,http:,es.ign.com,dying-light-ps4,90711,review,dying-light-analisis-para-ps4-xbox-one-y-pc,,,,,
Gamer.nl,75,,http://www.gamer.nl/review/500013/dying-light-tijd-voor-een-schone-onderbroek,http:,www.gamer.nl,review,500013,dying-light-tijd-voor-een-schone-onderbroek,,,,,,
XGN,75,,http://www.xgn.nl/review/dying-light-review,http:,www.xgn.nl,review,dying-light-review,,,,,,,
JeuxActu,75,,%20http://www.jeuxactu.com/test-dying-light-sur-ps4-97208.htm,%20http:,www.jeuxactu.com,test-dying-light-sur-ps4-97208.htm,,,,,,,,
PSX Extreme,73,,http://www.psxextreme.com/ps4-reviews/60.html,http:,www.psxextreme.com,ps4-reviews,60.html,,,,,,,
USgamer,70,,http://www.usgamer.net/articles/dying-light-ps4-review,http:,www.usgamer.net,articles,dying-light-ps4-review,,,,,,,
TheSixthAxis,70,,http://www.thesixthaxis.com/2015/02/06/dying-light-review/,http:,www.thesixthaxis.com,2015,2,6,dying-light-review,,,,,
Eurogamer Portugal,70,,http://www.eurogamer.pt/articles/2015-02-01-dying-light-analise,http:,www.eurogamer.pt,articles,2015-02-01-dying-light-analise,,,,,,,
GamingTrend,70,,http://gamingtrend.com/reviews/par-gore-dying-light-review/,http:,gamingtrend.com,reviews,par-gore-dying-light-review,,,,,,,
Gaming Nexus,70,,http://www.gamingnexus.com/Article/4683/Dying-Light/,http:,www.gamingnexus.com,Article,4683,Dying-Light,,,,,,
GameSpot,70,,http://www.gamespot.com/reviews/dying-light-review/1900-6416018/,http:,www.gamespot.com,reviews,dying-light-review,1900-6416018,,,,,,
Atomix,70,,http://atomix.vg/2015/01/30/review-dying-light/,http:,atomix.vg,2015,1,30,review-dying-light,,,,,
Hardcore Gamer,70,,http://www.hardcoregamer.com/2015/01/29/review-dying-light/131938/,http:,www.hardcoregamer.com,2015,1,29,review-dying-light,131938,,,,
InsideGamer.nl,68,,http://www.insidegamer.nl/recensies/115509/dying-light-review-postapocalyptische-loopjongen,http:,www.insidegamer.nl,recensies,115509,dying-light-review-postapocalyptische-loopjongen,,,,,,
GameTrailers,68,,http://www.gametrailers.com/reviews/9nvtbf/dying-light-review,http:,www.gametrailers.com,reviews,9nvtbf,dying-light-review,,,,,,
Kill Screen,65,,http://killscreendaily.com/articles/dying-lights-biggest-scares-arent-its-monsters/,http:,killscreendaily.com,articles,dying-lights-biggest-scares-arent-its-monsters,,,,,,,
NZGamer,65,,http://nzgamer.com/reviews/2203/dying-light.html,http:,nzgamer.com,reviews,2203,dying-light.html,,,,,,
Thunderbolt,60,,http://www.thunderboltgames.com/review/dying-light-ps4-review,http:,www.thunderboltgames.com,review,dying-light-ps4-review,,,,,,,
Slant Magazine,60,,http://www.slantmagazine.com/games/review/dying-light,http:,www.slantmagazine.com,games,review,dying-light,,,,,,
Digital Trends,60,,http://www.digitaltrends.com/game-reviews/dying-light-review/,http:,www.digitaltrends.com,game-reviews,dying-light-review,,,,,,,
The Escapist,60,,http://www.escapistmagazine.com/articles/view/video-games/editorials/reviews/12953-Dying-Light-Review-Dead-Island-with-Parkour,http:,www.escapistmagazine.com,articles,view,video-games,editorials,reviews,12953-Dying-Light-Review-Dead-Island-with-Parkour,,,
Gameplanet,60,,http://www.gameplanet.com.au/playstation-4/reviews/g54d2b0a311587/Dying-Light-review/,http:,www.gameplanet.com.au,playstation-4,reviews,g54d2b0a311587,Dying-Light-review,,,,,
EGM,60,,http://www.egmnow.com/articles/reviews/dying-light-review/,http:,www.egmnow.com,articles,reviews,dying-light-review,,,,,,
Game Revolution,60,,http://www.gamerevolution.com/review/dying-light,http:,www.gamerevolution.com,review,dying-light,,,,,,,
Post Arcade (National Post),55,,http://business.financialpost.com/2015/02/01/dying-light-review-techlands-sandbox-zombie-apocalypse-is-held-back-by-poor-parkour/?__lsa=70f8-6713,http:,business.financialpost.com,2015,2,1,dying-light-review-techlands-sandbox-zombie-apocalypse-is-held-back-by-poor-parkour,?__lsa=70f8-6713,,,,
Metro GameCentral,50,,http://metro.co.uk/2015/02/02/dying-light-review-something-old-something-new-something-borrowed-5045375/,http:,metro.co.uk,2015,2,2,dying-light-review-something-old-something-new-something-borrowed-5045375,,,,,
The Jimquisition,50,,http://www.thejimquisition.com/2015/01/dying-light-review/,http:,www.thejimquisition.com,2015,1,dying-light-review,,,,,,
Digitally Downloaded,90,Dynasty Warriors 8 Empires,http://www.digitallydownloaded.net/2015/02/review-dynasty-warriors-8-empires-sony.html,http:,www.digitallydownloaded.net,2015,2,review-dynasty-warriors-8-empires-sony.html,,,,,,
Eurogamer Italy,80,,http://www.eurogamer.it/articles/2015-02-24-dynasty-warriors-8-empires-recensione,http:,www.eurogamer.it,articles,2015-02-24-dynasty-warriors-8-empires-recensione,,,,,,,
Digital Chumps,78,,http://digitalchumps.com/game-reviews/352-playstation-4/dynasty-warriors-8-empires.html,http:,digitalchumps.com,game-reviews,352-playstation-4,dynasty-warriors-8-empires.html,,,,,,
IGN Italia,76,,http://it.ign.com/dynasty-warriors-8-empires-ps4/93673/review/limperituro-dynasty-warriors-8-empires,http:,it.ign.com,dynasty-warriors-8-empires-ps4,93673,review,limperituro-dynasty-warriors-8-empires,,,,,
LaPS4,74,,http://www.laps4.com/analisis/418462-analisis_dynasty_warriors_8_empires.html,http:,www.laps4.com,analisis,418462-analisis_dynasty_warriors_8_empires.html,,,,,,,
Multiplayer.it,72,,http://multiplayer.it/recensioni/145623-dynasty-warriors-8-empires-imperi-in-guerra.html,http:,multiplayer.it,recensioni,145623-dynasty-warriors-8-empires-imperi-in-guerra.html,,,,,,,
Atomix,70,,http://atomix.vg/2015/03/06/review-dynasty-warriors-8-empires/,http:,atomix.vg,2015,3,6,review-dynasty-warriors-8-empires,,,,,
Playstation Universe,70,,http://www.psu.com/review/26045/Dynasty-Warriors-8-Empires-Review,http:,www.psu.com,review,26045,Dynasty-Warriors-8-Empires-Review,,,,,,
3DJuegos,70,,http://www.3djuegos.com/juegos/analisis/19521/0/dynasty-warriors-8-empires/,http:,www.3djuegos.com,juegos,analisis,19521,0,dynasty-warriors-8-empires,,,,
Vandal Online,70,,http://www.vandal.net/analisis/ps4/dynasty-warriors-8-empires/24925,http:,www.vandal.net,analisis,ps4,dynasty-warriors-8-empires,24925,,,,,
Game Revolution,70,,http://www.gamerevolution.com/review/dynasty-warriors-8-empires,http:,www.gamerevolution.com,review,dynasty-warriors-8-empires,,,,,,,
God is a Geek,70,,http://www.godisageek.com/reviews/dynasty-warriors-8-empires-review/,http:,www.godisageek.com,reviews,dynasty-warriors-8-empires-review,,,,,,,
Push Square,70,,http://www.pushsquare.com/reviews/ps4/dynasty_warriors_8_empires,http:,www.pushsquare.com,reviews,ps4,dynasty_warriors_8_empires,,,,,,
IGN Spain,68,,http://es.ign.com/dynasty-warriors-8-empires-ps4/91427/review/dynasty-warriors-empires-analisis-para-ps4-y-xbox,http:,es.ign.com,dynasty-warriors-8-empires-ps4,91427,review,dynasty-warriors-empires-analisis-para-ps4-y-xbox,,,,,
