name,true_score,game,review_link,useless1,Site_address,useless12,useless13,useless14,,,,,,
GameTrailers,74,Daylight,http://digitalchumps.com/game-reviews/352-playstation-4/daylight.html,http:,digitalchumps.com,game-reviews,352-playstation-4,daylight.html,,,,,,
Digital Chumps,72,,http://www.psx-sense.nl/165042/review-daylight/,http:,www.psx-sense.nl,165042,review-daylight,,,,,,,
PSX-Sense.nl,70,,http://gamestyle.com/review/daylight-review/,http:,gamestyle.com,review,daylight-review,,,,,,,
Gamestyle,70,,http://www.laps3.com/analisis/408748-analisis_daylight.html,http:,www.laps3.com,analisis,408748-analisis_daylight.html,,,,,,,
LaPS4,67,,http://venturebeat.com/2014/04/29/daylight-review/,http:,venturebeat.com,2014,4,29,daylight-review,,,,,
Games Master UK,60,,http://www.4players.de/4players.php/dispbericht_fazit/PlayStation4/Test/Fazit_Wertung/Allgemein/34585/80444/Daylight.html,http:,www.4players.de,4players.php,dispbericht_fazit,PlayStation4,Test,Fazit_Wertung,Allgemein,34585,80444,Daylight.html
GamesBeat,60,,http://www.merlininkazani.com/Daylight-oyun_inceleme-73430p1.html,http:,www.merlininkazani.com,Daylight-oyun_inceleme-73430p1.html,,,,,,,,
4Players.de,59,,http://business.financialpost.com/2014/05/15/daylight-review-an-interesting-concept-is-bogged-down-by-mediocre-execution/?__lsa=18c2-bb51,http:,business.financialpost.com,2014,5,15,daylight-review-an-interesting-concept-is-bogged-down-by-mediocre-execution,?__lsa=18c2-bb51,,,,
Merlin'in Kazanı (Turkey),56,,http://www.psu.com/a023205/Daylight-PS4-Review--take-a-note-and-run,http:,www.psu.com,a023205,Daylight-PS4-Review--take-a-note-and-run,,,,,,,
Post Arcade (National Post),55,,http://www.gamecritics.com/john-vanderhoef/daylight-review,http:,www.gamecritics.com,john-vanderhoef,daylight-review,,,,,,,
Playstation Universe,55,,http://gaming.thedigitalfix.com/content/id/2391/daylight.html,http:,gaming.thedigitalfix.com,content,id,2391,daylight.html,,,,,
Playstation Official Magazine UK,50,,http://www.levelup.com/PlayStation-4/reviews/39889/Daylight/,http:,www.levelup.com,PlayStation-4,reviews,39889,Daylight,,,,,
Playstation Official Magazine Australia,50,,http://www.gamingnexus.com/Article/4413/Daylight/,http:,www.gamingnexus.com,Article,4413,Daylight,,,,,,
GameCritics,50,,http://www.darkstation.com/reviews/daylight/,http:,www.darkstation.com,reviews,daylight,,,,,,,
The Digital Fix,50,,http://www.ausgamers.com/games/daylight/review/,http:,www.ausgamers.com,games,daylight,review,,,,,,
LevelUp,50,,http://www.psxextreme.com/ps4-reviews/17.html,http:,www.psxextreme.com,ps4-reviews,17.html,,,,,,,
Gaming Nexus,49,,http://www.gamerstemple.com/game-reviews/playstation-4/8475/daylight-review,http:,www.gamerstemple.com,game-reviews,playstation-4,8475,daylight-review,,,,,
DarkStation,40,,http://www.thunderboltgames.com/review/daylight-ps4-review,http:,www.thunderboltgames.com,review,daylight-ps4-review,,,,,,,
AusGamers,40,,http://www.nowgamer.com/ps4/ps4-review/2379279/daylight_review.html,http:,www.nowgamer.com,ps4,ps4-review,2379279,daylight_review.html,,,,,
PSX Extreme,35,,http://metro.co.uk/2014/04/30/daylight-ps4-review-random-horror-4713504/,http:,metro.co.uk,2014,4,30,daylight-ps4-review-random-horror-4713504,,,,,
Gamers' Temple,30,,http://www.pushsquare.com/reviews/ps4/daylight,,,,,,,,,,,
Thunderbolt,30,,http://www.slantmagazine.com/games/review/daylight,,,,,,,,,,,
NowGamer,30,,,,,,,,,,,,,
Metro GameCentral,30,,,,,,,,,,,,,
Play UK,20,,,,,,,,,,,,,
Push Square,20,,,,,,,,,,,,,
Slant Magazine,10,,,,,,,,,,,,,
Playstation Official Magazine Australia,80,DC Universe Online,http://www.ign.com/articles/2013/12/02/dc-universe-online-review-2,http:,www.ign.com,articles,2013,12,2,dc-universe-online-review-2,,,,
IGN,80,,http://www.everyeye.it/ps4/articoli/dc-universe-online_recensione_21216,,,,,,,,,,,
Everyeye.it,75,,http://www.4players.de/4players.php/dispbericht/PlayStation4/Test/12403/80120/0/DC_Universe_Online.html,,,,,,,,,,,
4Players.de,75,,http://www.pushsquare.com/reviews/ps4/dc_universe_online,,,,,,,,,,,
Playstation Official Magazine UK,70,,,,,,,,,,,,,
Push Square,60,,,,,,,,,,,,,
LaPS4,90,Dead Nation: Apocalypse Edition,http://www.laps3.com/analisis/406418-analisis_dead_nation_apocalypse_edition.html,http:,www.laps3.com,analisis,406418-analisis_dead_nation_apocalypse_edition.html,,,,,,,
Gamer.nl,85,,http://www.gamer.nl/review/453619/dead-nation-apocalypse-edition-meer-zombies-dan-je-hersenen-aan-kunnen,,,,,,,,,,,
4Players.de,82,,http://www.4players.de/4players.php/dispbericht/PlayStation4/Test/18623/80352/0/Dead_Nation.html,,,,,,,,,,,
Vandal Online,81,,http://www.vandal.net/analisis/ps4/dead-nation-apocalypse-edition/23552,,,,,,,,,,,
Pelit (Finland),80,,http://www.xgn.nl/ps4/review/55023/dead-nation-apocalypse-edition/,,,,,,,,,,,
Playstation Official Magazine Australia,80,,http://www.ign.com/articles/2014/04/04/dead-nation-apocalypse-edition-review,,,,,,,,,,,
XGN,80,,http://www.everyeye.it/ps4/articoli/dead-nation-apocalypse-edition_recensione_21825,,,,,,,,,,,
IGN,80,,http://www.eurogamer.de/articles/2014-03-07-dead-nation-apocalypse-edition-test,,,,,,,,,,,
Everyeye.it,80,,http://www.3djuegos.com/juegos/analisis/18603/0/dead-nation-apocalypse/,,,,,,,,,,,
Eurogamer Germany,80,,http://www.psu.com/a022671/Dead-Nation--Apocalypse-Edition-PS4-review,,,,,,,,,,,
3DJuegos,80,,http://www.nowgamer.com/ps4/ps4-review/2305963/dead_nation_apocalypse_edition_review.html,,,,,,,,,,,
Playstation Universe,80,,http://www.godisageek.com/2014/03/dead-nation-apocalypse-edition-review/,,,,,,,,,,,
